feature,gain,split
COM_HAS_HF,79.39092969894409,28
DEM_AGE_GT_90,58.58296012878418,20
VITAL_WEIGHT_MISSING,0.0,0
SPECIAL_CLS,0.0,0
SPECIAL_UNK,0.0,0
SPECIAL_PAD,0.0,0
SPECIAL_SEP,0.0,0
SPECIAL_CTX,0.0,0
SPECIAL_MASK,0.0,0
VITAL_SBP_MISSING,0.0,0
ACT_ADD_METFORMIN,0.0,0
EVTYPE_ADD_ON,0.0,0
EVTYPE_START_OBSERVED,0.0,0
EVTYPE_STOP,0.0,0
VITAL_DBP_MISSING,0.0,0
VITAL_HEIGHT_MISSING,0.0,0
VITAL_BMI_MISSING,0.0,0
ACT_REM_INSULIN_BASAL,0.0,0
DEM_SEX_MISSING,0.0,0
EVTYPE_SWITCH_OR_COMPLEX,0.0,0
ACT_ADD_SULFONYLUREA,0.0,0
ACT_ADD_DPP4,0.0,0
ACT_ADD_INSULIN_BASAL,0.0,0
DEM_AGE_MISSING,0.0,0
ACT_REM_METFORMIN,0.0,0
ACT_REM_SULFONYLUREA,0.0,0
VITAL_DBP_70_80,0.0,0
VITAL_SBP_110_130,0.0,0
VITAL_BMI_18_5_25,0.0,0
VITAL_SBP_90_110,0.0,0
ACT_ADD_SGLT2,0.0,0
VITAL_SBP_150_170,0.0,0
VITAL_DBP_60_70,0.0,0
ACT_ADD_INSULIN_BOLUS,0.0,0
VITAL_BMI_30_35,0.0,0
VITAL_DBP_80_90,0.0,0
VITAL_SBP_130_150,0.0,0
ACT_REM_DPP4,0.0,0
ACT_REM_INSULIN_BOLUS,0.0,0
VITAL_BMI_25_30,0.0,0
MED_ON_GLP1,0.0,0
VITAL_BMI_35_40,0.0,0
ACT_ADD_GLP1,0.0,0
THERAPY_NAGENTS_5,0.0,0
ACT_REM_SGLT2,0.0,0
VITAL_SBP_170_200,0.0,0
VITAL_BMI_LE_18_5,0.0,0
VITAL_BMI_40_50,0.0,0
VITAL_DBP_LE_60,0.0,0
VITAL_DBP_90_100,0.0,0
ACT_REM_GLP1,0.0,0
COM_HAS_MASLD,0.0,0
VITAL_BMI_GT_50,0.0,0
VITAL_SBP_LE_90,0.0,0
VITAL_DBP_100_120,0.0,0
VITAL_DBP_GT_120,0.0,0
THERAPY_NAGENTS_6,0.0,0
VITAL_SBP_GT_200,0.0,0
